Ano;Departamento;gabinete;sector;subsector;institucion;proyecto;monto;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Salud;Secretaría de Desarrollo e Inclusión Social;PROGRAMA APOYO A LA RED DE INCLUSIÓN SOCIAL CON PRIORIDAD EN OCCIDENTE;30849869.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Salud;Secretaría de Salud;PROGRAMA APOYO A LA RED DE INCLUSIÓN SOCIAL CON PRIORIDAD EN OCCIDENTE;5722071.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Salud;Secretaría de Salud;REEQUIPAMIENTO BIOMEDICO HOSPITAL MARIA ESPECIALIDADES PEDIATRICAS (HMEP);93576144.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Secretaría de Agricultura y Ganadería;FORTALECIMIENTO DE LAS CAPACIDADES DE LA UNIDAD ADMINISTRADORA DE PROYECTOS (UAP), DE LA SECRETARIA DE AGRICULTURA Y GANADERIA (SAG) EN HONDURAS.;3051939.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Agroforestal y Turismo;Riego;Secretaría de Agricultura y Ganadería;PROYECTO DE DESAROLLO AGRICOLA BAJO RIEGO (PDABR);310102070.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Agroforestal y Turismo;Desarrollo Productivo;Secretaría de Agricultura y Ganadería;PROGRAMA DE DESARROLLO RURAL SOSTENIBLE PARA LA REGION SUR (EMPRENDESUR);18485475.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Agroforestal y Turismo;Desarrollo Productivo;Secretaría de Agricultura y Ganadería;PROYECTO DE COMPETITIVIDAD Y DESARROLLO SOSTENIBLE DEL CORREDOR FRONTERIZO SUR OCCIDENTAL PRO-LENCA;39385637.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Agroforestal y Turismo;Riego;Secretaría de Agricultura y Ganadería;PROYECTO DE  DESARROLLO AGRÍCOLA BAJO RIEGO DEL VALLE DE JAMASTRAN FASE 1;93337527.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Agroforestal y Turismo;Recursos Forestal Y Ambie;Instituto Nacional de Conservación y Desarrollo Forestal;ADAPTACION AL CAMBIO CLIMATICO EN EL SECTOR FORESTAL (CLIFOR);118936074.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Agroforestal y Turismo;Recursos Forestal Y Ambie;Instituto Nacional de Conservación y Desarrollo Forestal;MEDIDA COMPLEMENTARIA AL PROYECTO DE ORDENAMIENTO TERRITORIAL COMUNAL Y PROTECCIÓN DEL MEDIO AMBIENTE EN RÍO PLÁTANO (MC-PROTEP);31055286.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Instituto Hondureño de Ciencia, Tecnología e Innovación;Apoyo al Fortalecimiento del Sistema Nacional de Ciencia, Tecnología e Innovación de Honduras.;3255945.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Secretaría de Trabajo y Seguridad Social;FORTALECIMIENTO INSTITUCIONAL DE EMPLEO DECENTE Y OPORTUNIDADES DE EMPLEO PARA JÓVENES EN HONDURAS (EURO+LABOR);48743034.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Gobernabilidad;Agroforestal y Turismo;Desarrollo Productivo;Instituto Nacional Agrario;PRODUCCION AGROPECUARIA NACIONAL (PAN);5000000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Gobernabilidad;Agroforestal y Turismo;Desarrollo Productivo;Instituto Nacional Agrario;PROGRAMA TITULACION DE TIERRAS;5000000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Comunicaciones;Empresa Hondureña de Telecomunicaciones;Proyecto Servicios Convergentes de Nueva Generación;41996196.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Empresa Nacional de Energía Eléctrica;APOYO A LA INTEGRACION DE HONDURAS EN EL MERCADO REGIONAL (MER);43938362.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Empresa Nacional de Energía Eléctrica;APOYO AL PLAN ESTRATÉGICO DE ACCESO UNIVERSAL A ELECTRICIDAD;3912000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Empresa Nacional de Energía Eléctrica;PROYECTO DE REHABILITACIÓN Y REPOTENCIACIÓN DEL COMPLEJO HIDROELÉCTRICO CAÑAVERAL-RÍO LINDO;10929331.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Prevención, Seguridad y Defensa;Agroforestal y Turismo;Recursos Forestal Y Ambie;Comisión Permanente de Contingencias;PROYECTO GESTION DE RIESGOS DE DESASTRES;117506288.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Prevención, Seguridad y Defensa;Fortalecimiento Institucional;Seguridad Y Defensa;Secretaría de Seguridad;PROGRAMA DE CONVIVENCIA CIUDADANA Y MEJORAMIENTO DE BARRIOS;110196128.000000000000000000000000000000;
2019;Gracias a Dios;Gabinete Social;Promoción y Protección Humana;Educación;Secretaría de Educación;PROGRAMA DE MEJORA DE LA INFRAESTRUCTURA ESCOLAR (PROMINE/KFW, FASE II);1820405.000000000000000000000000000000;
2019;Gracias a Dios;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;BOLSON ESCOLAR Y EQUIPO DE UTILES;336900.000000000000000000000000000000;
2019;Gracias a Dios;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;CENTROS DE ATENCIÓN A PERSONAS  CON CAPACIDADES ESPECIALES Y ADULTOS MAYORES EN SITUACIÓN DE VULNERABILIDAD;3857215.000000000000000000000000000000;
2019;Gracias a Dios;Gabinete Económico;Agroforestal y Turismo;Recursos Forestal Y Ambie;Instituto Nacional de Conservación y Desarrollo Forestal;ADAPTACION AL CAMBIO CLIMATICO EN EL SECTOR FORESTAL (CLIFOR);3929955.000000000000000000000000000000;
2019;Gracias a Dios;Gabinete Económico;Agroforestal y Turismo;Recursos Forestal Y Ambie;Instituto Nacional de Conservación y Desarrollo Forestal;MEDIDA COMPLEMENTARIA AL PROYECTO DE ORDENAMIENTO TERRITORIAL COMUNAL Y PROTECCIÓN DEL MEDIO AMBIENTE EN RÍO PLÁTANO (MC-PROTEP);726232.000000000000000000000000000000;
2019;Intibucá;Gabinete de Infraestructura, Servicios y Empr;Agroforestal y Turismo;Desarrollo Productivo;Cuenta del Desafío del Milenio-Honduras;ALIANZA PARA EL CORREDOR SECO (USAID-GAFSP);32174239.000000000000000000000000000000;
2019;Intibucá;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Fondo Hondureño de Inversión Social;PRODUCTIVIDAD Y OPORTUNIDAD PARA EL DESARROLLO A TRAVÉS DE ENERGÍA RENOVABLE (PODER);9343922.000000000000000000000000000000;
2019;Intibucá;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Programa Nacional de Desarrollo Rural y Urbano Sostenible;PROYECTO DE ENERGÍA RENOVABLE PARA EL DESARROLLO RURAL SOSTENIBLE PRO-ENERGÍA RURAL;12051215.000000000000000000000000000000;
